               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.026576,            0.012446,           0.0036162,             0.76839,             0.88786,             0.82016,             0.58738,             0.02463,           0.0049881,           0.0027242,           0.0083368,           0.0083368,           0.0083368
                  86,            0.026776,            0.012331,           0.0035801,             0.76262,             0.88771,             0.81753,              0.5891,            0.024697,           0.0050129,           0.0027213,            0.008317,            0.008317,            0.008317
                  87,            0.026841,            0.012394,             0.00362,             0.76829,             0.88667,             0.81803,             0.59074,            0.024709,           0.0049918,           0.0026891,           0.0082972,           0.0082972,           0.0082972
                  88,            0.026522,            0.012302,           0.0033252,             0.76536,              0.8972,             0.81765,             0.58942,            0.024739,           0.0049928,           0.0026912,           0.0082774,           0.0082774,           0.0082774
                  89,            0.026618,            0.012328,           0.0034091,             0.77098,             0.89255,             0.82021,             0.59063,            0.024563,           0.0049818,           0.0026749,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026558,            0.012416,           0.0034088,             0.76419,             0.90271,             0.81911,             0.59082,             0.02443,           0.0049637,           0.0027023,           0.0082378,           0.0082378,           0.0082378
                  91,            0.026196,            0.012197,           0.0033851,             0.76608,             0.89969,             0.81704,             0.59155,            0.024297,           0.0049387,           0.0027249,            0.008218,            0.008218,            0.008218
                  92,            0.026447,            0.012446,           0.0033003,             0.77286,             0.89406,             0.81609,              0.5883,              0.0243,           0.0049497,           0.0027171,           0.0081982,           0.0081982,           0.0081982
                  93,            0.026643,            0.012332,           0.0034908,             0.77671,             0.87969,             0.81819,             0.59111,            0.024249,           0.0049287,           0.0027219,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026612,            0.012403,           0.0036449,             0.76785,             0.88529,             0.81762,             0.59273,             0.02421,             0.00492,           0.0027293,           0.0081586,           0.0081586,           0.0081586
                  95,            0.026227,            0.012235,           0.0034058,             0.76725,             0.88963,             0.81837,             0.59141,            0.024199,           0.0049259,           0.0027394,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026267,            0.012366,           0.0035879,             0.76493,             0.89052,             0.81849,             0.59192,            0.024082,           0.0049298,           0.0027176,            0.008119,            0.008119,            0.008119
                  97,            0.026318,            0.012229,           0.0035143,             0.76816,             0.89365,             0.82103,             0.59323,            0.024031,           0.0048818,             0.00272,           0.0080992,           0.0080992,           0.0080992
                  98,            0.026315,             0.01214,           0.0034593,             0.76973,             0.89459,             0.81991,               0.593,            0.024075,           0.0048728,           0.0026985,           0.0080794,           0.0080794,           0.0080794
                  99,            0.025968,            0.012258,           0.0033924,              0.7738,             0.88966,             0.81864,             0.59546,            0.024132,           0.0048805,           0.0027007,           0.0080596,           0.0080596,           0.0080596
                 100,             0.02658,            0.012438,           0.0035589,             0.77162,             0.88337,             0.82089,             0.59606,            0.024142,           0.0048808,           0.0026927,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026202,            0.012339,           0.0034162,             0.77673,             0.88373,             0.82236,             0.59758,            0.024058,           0.0048556,           0.0026948,             0.00802,             0.00802,             0.00802
                 102,            0.025947,            0.012195,           0.0032749,             0.77081,             0.89448,             0.82375,             0.59818,            0.023999,           0.0048476,           0.0027098,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026138,            0.012429,           0.0033043,             0.77078,             0.88552,             0.82073,             0.59812,            0.023959,           0.0048383,           0.0027254,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026027,            0.012259,           0.0035845,             0.77057,             0.88508,             0.82169,             0.59827,            0.023964,           0.0048345,           0.0027277,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02608,            0.012138,            0.003344,               0.764,             0.89131,             0.82141,             0.59784,            0.023932,           0.0048454,            0.002731,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025751,            0.012041,           0.0032625,             0.76759,             0.88644,              0.8225,             0.59881,            0.023878,           0.0048471,           0.0027159,            0.007921,            0.007921,            0.007921
                 107,            0.025833,             0.01192,           0.0033183,             0.77152,             0.86951,             0.82018,             0.59825,            0.023893,           0.0048679,           0.0027283,           0.0079012,           0.0079012,           0.0079012
